HYPERLIQUID SPOT ASSETS
================================================================================
Name            | Index  | Asset ID     | Decimals
GNC             | 423    | 10423        | 8       
SPACE           | 424    | 10424        | 6       
================================================================================
Total spot assets: 425

================================================================================

UBTC Token:
  Token ID (Index): 197
  Asset ID (10000+): 10197
  Core Decimals: 10
  EVM Extra Decimals: -2
  Total EVM Decimals: 8
  EVM Contract: 0x9fdbda0a5e284c32744d2f17ee5c74b284993463

UETH Token:
  Token ID (Index): 221
  Asset ID (10000+): 10221
  Core Decimals: 9
  EVM Extra Decimals: +9
  Total EVM Decimals: 18
  EVM Contract: 0xbe6727b535545c67d5caa73dea54865b92cf7907

USOL Token:
  Token ID (Index): 254
  Asset ID (10000+): 10254
  Core Decimals: 8
  EVM Extra Decimals: +1
  Total EVM Decimals: 9
  EVM Contract: 0x068f321fa8fb9f0d135f290ef6a3e2813e1c8a29
